state,county,inf_rate,mrt_rate,Density_per_square_mile_of_land_area_Population,Perct_Total_age0to17,Perct_Total_age18to64,Perct_Total_age65plus,Perct_Total_age85plus,ICU_Beds
Alabama,Marshall,0.0,0.0,164.4,24.90505572,58.05699778,17.0379465,1.746974789,20
Alabama,Mobile,1.78,3.733333333,335.9,23.37386437,60.42314692,16.20298871,1.749335963,157
Alabama,Monroe,0.0,0.0,22.5,21.56453221,58.14306736,20.29240044,2.691413111,8
Alabama,Montgomery,3.72,-1.0,292.5,23.37584104,61.48748909,15.13666987,1.777084819,88
Alabama,Morgan,0.0,0.0,206.3,22.81319014,59.7183619,17.46844797,1.838960777,34
Alabama,Perry,0.0,0.0,14.7,21.24726477,59.34354486,19.40919037,2.571115974,0
Alabama,Pickens,0.0,0.0,22.4,19.66596449,61.31006119,19.02397432,2.156685726,4
Alabama,Pike,0.0,0.0,48.9,18.98134261,66.05975163,14.95890575,1.694762733,9
Alabama,Randolph,0.0,0.0,39.5,21.44774477,58.20022002,20.3520352,2.160616062,0
Alabama,Russell,0.0,0.0,82.6,24.17403645,61.49599349,14.32997006,1.545490732,8
Alabama,Shelby,1.05,1.6,248.5,23.47860756,61.18253001,15.33886244,1.583629646,32
Alabama,Sumter,0.0,0.0,15.2,18.96619652,63.02103853,18.01276495,2.836655898,0
Alabama,Talladega,1.29,0.0,111.7,21.19306509,60.80573232,18.00120259,1.699904795,14
Alabama,Tallapoosa,0.0,0.0,58.1,20.66572833,57.77464997,21.5596217,2.010025434,6
Alabama,Tuscaloosa,0.86,0.0,147.3,20.94719761,65.77298467,13.27981772,1.5092551369999998,84
Alabama,Walker,0.1,0.0,84.7,22.19867841,58.4781278,19.3231938,1.6747500430000002,12
Alabama,Washington,1.45,0.0,16.3,22.00512883,58.8838686,19.11100256,1.984369276,0
Alabama,Wilcox,0.0,0.0,13.1,23.76023337,56.79872024,19.44104639,2.34308836,0
Alabama,Winston,0.0,0.0,39.9,20.42688081,58.01352494,21.55959425,2.337278107,4
Arizona,Apache,6.09,1.333333333,6.4,27.17703083,57.52596842,15.29700075,1.60823192,0
Arizona,Cochise,2.4,0.0,21.3,21.54452946,56.11106729,22.34440325,2.342036759,12
Arizona,Coconino,1.46,1.714285714,7.2,20.618253600000006,66.88297143,12.49877497,1.143825164,41
Arizona,Gila,0.0,0.0,11.3,20.09129878,51.13473993,28.77396129,2.95050938,8
Arizona,Graham,0.0,0.0,8.1,27.01985711,59.03288506,13.94725783,1.6416263919999998,0
Arizona,Maricopa,1.26,2.25,414.9,23.86828402,60.95802054,15.17369544,1.782524082,1004
Arizona,Mohave,0.0,0.0,15.0,17.05511811,52.62944405,30.31543784,2.896683369,80
Arizona,Navajo,1.48,1.5,10.8,26.68477523,55.19760967,18.1176151,1.63610847,12
Arizona,Pima,1.79,3.7241379310000005,106.7,20.85859223,59.38774273,19.75366505,2.448143682,296
Arizona,Pinal,2.1,3.0,70.0,22.53845569,57.08103539,20.38050893,1.689187678,22
Arizona,Yavapai,0.58,0.0,26.0,16.2448867,52.16881544,31.58629786,3.200527602,39
Arizona,Yuma,1.65,0.0,35.5,25.21779303,56.00675064,18.77545633,2.473506562,42
Arkansas,Arkansas,0.0,0.0,19.2,22.92757049,57.46524847,19.60718105,2.470594856,0
Arkansas,Ashley,0.0,0.0,23.6,22.85742792,56.78439589,20.35817619,1.870697396,6
Arkansas,Baxter,0.0,0.0,74.9,17.74189673,51.35875442,30.89934886,3.841995243,17
Arkansas,Benton,1.17,0.0,261.2,26.25344817,60.33645381,13.41009802,1.531136284,30
Arkansas,Boone,0.0,0.0,62.5,22.92689434,56.41408751,20.65901814,2.486659552,24
Arkansas,Bradley,-0.57,0.0,17.7,23.96072313,57.07075342,18.96852345,2.560337708,0
Arkansas,Carroll,0.0,0.0,43.6,21.48956525,55.32367218,23.18676257,2.253481203,0
Arkansas,Chicot,0.0,0.0,18.3,22.29354282,57.37689212,20.32956505,3.046560644,0
Arkansas,Clark,0.0,0.0,26.6,18.96559539,64.32165359999999,16.71275101,2.076061829,0
Arkansas,Clay,0.0,0.0,25.2,21.74176601,56.84650098,21.41173301,2.431467637,0
Arkansas,Cleburne,0.0,0.0,46.9,18.97456439,54.23993591,26.7854997,3.416783497,0
Arkansas,Cleveland,0.0,0.0,14.5,21.8757795,57.13394862,20.99027189,2.1576452980000003,0
Arkansas,Columbia,0.0,0.0,32.1,20.69507584,61.88129328,17.42363088,2.421718996,6
Arkansas,Conway,0.0,0.0,38.5,22.5551673,57.84309033,19.60174238,2.522617395,0
Arkansas,Craighead,1.42,0.0,136.4,24.95440226,61.20046427,13.84513348,1.699552313,66
Arkansas,Crawford,0.0,0.0,104.4,24.4472132,58.91871432,16.63407249,1.709617386,8
Arkansas,Crittenden,1.93,4.0,83.5,27.04894295,58.8060072,14.14504985,1.5473087580000002,0
Arkansas,Cross,0.0,0.0,29.0,23.42288319,57.80762773,18.76948909,2.20076757,0
Arkansas,Dallas,0.0,0.0,12.2,21.37287664,55.44416597,23.18295739,3.4252297410000003,0
Arkansas,Desha,0.67,0.0,16.9,25.62543433,55.36831133,19.00625434,2.136900625,0
Arkansas,Drew,0.0,0.0,22.3,21.49170668,61.01047577,17.49781755,2.215189873,5
Arkansas,Faulkner,0.14,4.0,174.8,23.05978879,64.45523452,12.48497668,1.282790891,25
Arkansas,Franklin,0.0,0.0,29.8,22.87478944,57.79337451,19.33183605,2.459292532,0
Arkansas,Fulton,0.0,0.0,19.8,20.5477219,53.19911973,26.25315837,3.072785068,0
Arkansas,Garland,1.32,0.0,141.7,20.11114025,56.05522722,23.83363253,2.849103415,41
Arkansas,Grant,0.4,0.0,28.3,22.43787112,59.55575104,18.00637783,2.023312074,0
Arkansas,Greene,1.33,0.0,72.9,24.49641478,59.52564810000001,15.97793712,1.683397683,8
Arkansas,Hempstead,0.0,0.0,31.1,25.79918127,56.23936341,17.96145531,2.2400073590000003,8
Arkansas,Howard,0.0,0.0,23.4,26.0250356,56.03028259,17.94468181,2.226219924,0
Arkansas,Independence,2.4,0.0,48.0,24.21041457,58.26476989,17.52481554,2.173682255,12
Arkansas,Izard,0.0,0.0,23.6,18.00191275,56.20539984,25.79268741,3.273743839,0
Arkansas,Jackson,0.0,0.0,28.4,20.11183154,61.73933734,18.14883112,2.004639819,0
Arkansas,Jefferson,0.92,4.0,88.9,22.09971518,60.61015357,17.29013125,1.97756702,34
Arkansas,Johnson,0.0,0.0,38.7,24.74384863,58.80263256,16.45351881,1.925809588,8
Arkansas,Lawrence,0.0,0.0,29.6,21.99099428,58.28161129,19.72739443,2.549592309,0
Arkansas,Lincoln,36.36,0.0,25.2,16.81237391,67.87715759,15.3104685,1.860569379,0
Arkansas,Logan,0.0,0.0,31.6,21.67272393,58.47633068,19.85094539,2.12540829,0
Arkansas,Lonoke,0.0,0.0,88.7,25.8074589,60.87676663,13.31577447,1.295192582,0
Arkansas,Madison,0.0,0.0,18.8,23.68788302,57.24167223,19.07044475,1.862751047,0
Arkansas,Marion,0.0,0.0,27.9,18.63413467,52.8525296,28.51333573,2.4997009930000003,0
Arkansas,Miller,0.0,0.0,69.5,23.63507066,59.47192145,16.89300789,1.869609103,0
Arkansas,Mississippi,0.0,0.0,51.6,26.05543296,59.15274376,14.79182327,1.607701448,5
Arkansas,Monroe,0.0,0.0,13.4,21.05797101,55.73913043,23.20289855,2.913043478,0
Arkansas,Nevada,0.0,0.0,14.6,22.60389142,56.76195052,20.63415806,2.75042037,0
Arkansas,Newton,0.0,0.0,10.1,19.24407431,54.24727739,26.5086483,2.447149263,0
Arkansas,Ouachita,0.0,0.0,35.6,22.42226553,57.20155893,20.37617555,2.7704820810000004,8
Arkansas,Perry,0.0,0.0,18.9,22.35316847,57.44783617,20.19899536,2.308732612,0
Arkansas,Phillips,0.0,0.0,31.3,25.76959343,55.22768872,19.00271784,2.163181541,6
Arkansas,Pike,0.0,0.0,18.8,21.37168556,58.24041975,20.38789469,1.930104001,0
Arkansas,Poinsett,1.71,0.0,32.4,24.0260282,58.05455911,17.9194127,1.722699591,0
Arkansas,Polk,0.67,0.0,24.1,22.77919098,54.22215572,22.9986533,2.394134371,6
Arkansas,Pope,0.67,0.0,76.0,22.6703125,61.578125,15.7515625,1.8375,11
Arkansas,Prairie,0.0,0.0,13.4,19.97770622,56.2422591,23.78003468,3.121129552,0
Arkansas,Pulaski,1.97,1.333333333,503.8,23.17637771,61.27024549,15.5533768,1.883722115,209
Arkansas,Randolph,0.0,0.0,27.6,23.70737687,56.35168264,19.94094049,2.941831959,2
Arkansas,Saline,1.47,0.0,148.0,23.24391992,58.99638448,17.7596956,1.700694279,16
Arkansas,Scott,0.0,0.0,12.6,23.2193042,55.92596182,20.85473399,2.141680395,0
Arkansas,Searcy,0.0,0.0,12.3,20.43226941,54.58657954,24.98115104,3.040965067,0
Arkansas,Sebastian,0.4,0.0,236.4,23.89376375,60.05651531,16.04972095,1.937332196,69
Arkansas,Sevier,0.5,0.0,30.2,28.43806523,57.01616197,14.5457728,1.6512048540000002,0
Arkansas,Sharp,0.0,0.0,28.6,20.56892779,53.34561787,26.08545434,2.982840032,0
Arkansas,Stone,0.0,0.0,20.4,19.23416553,53.34350165,27.42233282,3.186963153,0
Arkansas,Union,0.0,0.0,40.1,24.07350611,57.992128,17.93436589,2.131574912,16
Arkansas,Washington,0.97,0.0,215.6,24.36181481,63.90249872,11.73568646,1.328066644,61
Arkansas,White,0.0,0.0,74.5,23.06324387,60.51037128,16.42638485,1.829105644,13
Arkansas,Yell,0.0,0.0,23.9,24.77362433,57.44601811,17.78035756,2.247504063,0
California,Alameda,1.5,3.3043478260000003,2043.6,20.54953553,65.62058085,13.82988361,1.82510546,282
California,Amador,0.0,0.0,64.1,15.01663154,57.98440952,26.99895894,2.757534977,6
California,Butte,0.57,0.0,134.4,19.98348151,61.42586571,18.59065278,2.412045525,43
California,Calaveras,0.0,0.0,44.7,16.93127494,55.54142362,27.52730143,2.484540152,0
California,Colusa,0.0,0.0,18.6,27.31308087,58.06168216,14.62523697,1.831044528,0
California,Fresno,2.31,1.6,156.2,28.3406074,59.37932422,12.28006838,1.590506838,164
California,Glenn,0.0,0.0,21.4,26.57325204,57.54982708,15.87692088,1.943166827,0
California,Humboldt,0.16,0.0,37.7,19.20028158,62.92227934,17.87743908,2.004062388,32
California,Imperial,3.44,0.0,41.8,28.46936924,58.56225973,12.96837103,1.78741331,28
California,Inyo,0.0,0.0,1.8,20.46478012,56.12942681,23.40579307,3.474731751,4
California,Kern,2.31,0.0,103.3,28.90169543,60.13142811,10.96687646,1.157606684,144
California,Kings,0.0,0.0,110.1,27.0628807,62.68646856,10.25065074,1.234094843,22
California,Lake,0.0,0.0,51.5,20.95306141,56.31542978,22.73150881,2.238203225,8
California,Madera,0.13,0.0,70.6,27.48680806,58.52782993,13.98536202,1.508194226,10
California,Marin,0.83,0.0,485.1,19.9968421,57.68872321,22.3144347,3.013486556,66
California,Mendocino,1.0,0.0,25.1,21.3604091,56.53379905,22.10579184,2.414218204,14
California,Merced,0.0,0.0,132.2,29.32979091,59.44425236,11.22595673,1.355340018,24
California,Mono,0.0,0.0,4.7,18.30175439,65.8877193,15.81052632,1.438596491,2
California,Monterey,2.52,1.333333333,126.5,26.1330505,60.27608277,13.59086672,1.934370079,27
California,Napa,1.5,0.0,182.4,20.6574521,60.21647288,19.12607501,2.626652417,32
California,Nevada,0.24,0.0,103.1,17.12305408,55.41345691,27.46348901,3.058297224,10
California,Orange,1.12,2.736842105,3807.7,21.93330253,63.30236211,14.76433536,1.983039378,651
California,Placer,0.14,5.333333333,247.6,22.24118591,58.19727381,19.56154028,2.473616873,70
California,Plumas,0.0,0.0,7.8,16.87406935,54.70112742,28.42480323,2.467560094,0
California,Riverside,2.52,3.317073171,303.8,25.14022192,60.45109309,14.40868499,1.752763839,351
California,Sacramento,1.29,1.28,1470.8,23.61550317,62.263502,14.12099482,1.808011162,396
California,Shasta,0.4,0.0,46.9,21.43079316,57.71106421,20.85814263,2.379471229,81
California,Siskiyou,0.0,0.0,7.2,20.1308206,54.34543958,25.52373982,2.63013448,4
California,Solano,1.73,0.0,503.0,22.10877499,62.1213139,15.76991111,1.789256846,92
California,Sonoma,0.97,0.0,307.1,19.64147841,60.61343116,19.74509043,2.421880938,82
California,Stanislaus,2.93,4.0,344.2,27.06383056,59.78283604,13.15333339,1.599628966,88
California,Sutter,0.0,0.0,157.3,25.88552481,58.72096026,15.39351493,2.037042776,0
California,Tehama,0.0,0.0,21.5,24.03623506,56.58051192,19.38325302,2.163777458,8
California,Tulare,3.34,2.1818181819999998,91.7,30.66322358,57.89731272,11.4394637,1.363711493,51
California,Tuolumne,0.0,0.0,24.9,16.79165368,57.02708154,26.18126478,2.90251013,6
California,Ventura,1.32,1.2,446.7,22.86257869,61.58017878,15.55724253,2.068000287,139
California,Yolo,1.73,8.0,197.9,20.97609887,66.53116039,12.49274074,1.673260499,14
California,Yuba,0.29,0.0,114.2,27.62265988,59.62122474,12.75611538,1.223715739,24
Colorado,Adams,1.68,1.384615385,378.2,26.52558863,63.00550142,10.46890995,1.067071979,168
Colorado,Alamosa,0.0,0.0,21.4,24.04843254,62.33890787,13.61265959,1.4026254269999998,6
Colorado,Arapahoe,1.65,2.842105263,716.7,23.55550778,63.38198598,13.06250624,1.429942492,127
Colorado,Archuleta,0.0,0.0,8.9,18.05303305,55.90265165,26.04431529,1.874318925,0
Colorado,Boulder,1.33,2.1818181819999998,405.6,18.9988285,66.74507326,14.25609823,1.606364121,72
Colorado,Broomfield,1.01,0.0,1691.9,23.10624107,63.04589487,13.84786406,1.588057805,20
Colorado,Chaffee,1.44,1.333333333,17.6,15.02471663,59.5895541,25.38572927,2.771258801,2
Colorado,Delta,0.0,0.0,27.1,20.02067651,54.05614965,25.92317384,2.8559428810000003,6
Colorado,Denver,1.73,2.52173913,3922.6,19.52931784,68.71674771,11.75393445,1.490177141,227
Colorado,Douglas,0.91,2.4,339.7,25.95806007,62.09973860000001,11.94220132,1.097509744,54
Colorado,Eagle,0.29,1.6,31.0,21.79913807,66.64302729,11.55783463,0.656447184,5
Colorado,Elbert,1.87,0.0,12.5,21.75633513,61.84080359,16.40286127,1.114831444,0
Colorado,Fremont,0.0,0.0,30.5,16.324108199999998,62.01453531,21.66135649,2.365631703,4
Colorado,Garfield,1.15,0.0,19.1,25.21666388,61.63627238,13.14706374,1.251463945,5
Colorado,Gilpin,0.0,0.0,36.3,15.55301421,67.53798399,16.909001800000002,0.7351739909999999,0
Colorado,Grand,0.0,0.0,8.0,16.80515298,65.59742351,17.59742351,1.217391304,0
Colorado,Gunnison,0.58,0.0,4.7,16.99524527,70.03942943,12.96532529,0.985735823,0
Colorado,Huerfano,0.0,0.0,4.2,16.28683408,52.53302366,31.18014226,3.672521411,0
Colorado,Jefferson,1.04,0.9655172409999999,699.5,19.73603707,63.80902155,16.45494138,1.847361319,94
Colorado,Lake,0.0,0.0,19.4,19.95143149,65.77198364,14.27658487,1.150306748,0
Colorado,Larimer,1.11,1.333333333,115.4,19.60041995,64.72620522,15.67337483,1.759110802,55
Colorado,Lincoln,0.0,0.0,2.1,20.17825312,62.26381462,17.55793226,2.923351159,0
Colorado,Logan,0.0,0.0,12.4,18.557227800000003,63.67985879,17.76291342,2.9031958380000003,4
Colorado,Mesa,0.0,0.0,44.1,21.56885782,59.34715777,19.08398441,2.404589869,44
Colorado,Moffat,0.0,0.0,2.9,25.91750076,58.76554443,15.31695481,1.7515923569999998,0
Colorado,Montezuma,0.0,0.0,12.6,22.00474042,55.87965441,22.11560517,2.47343069,4
Colorado,Montrose,1.28,3.0,18.4,21.60420714,55.09546596,23.30032691,2.951627422,8
Colorado,Morgan,6.51,0.0,22.0,25.99621822,58.51950417,15.48427761,2.479165208,6
Colorado,Otero,0.0,0.0,14.9,23.92578125,55.64236111,20.43185764,2.593315972,506
Colorado,Park,0.0,0.0,7.4,15.14334986,64.41582238,20.44082776,0.926923906,0
Colorado,Pitkin,0.89,0.0,17.7,15.06406685,65.53760446,19.39832869,1.431754875,4
Colorado,Prowers,0.0,0.0,7.7,25.79743505,56.58500493,17.61756001,2.384084183,0
Colorado,Pueblo,1.85,5.333333333,66.7,22.45760436,59.04529962,18.49709603,2.404359842,32
Colorado,Routt,1.41,4.0,10.0,18.10127074,66.45552404,15.44320522,1.115299421,4
Colorado,Saguache,0.0,0.0,1.9,21.40873886,55.61888061,22.97238053,1.461347362,0
Colorado,Summit,1.11,0.0,46.0,16.24794401,70.09384978,13.65820621,0.583739156,8
Colorado,Teller,0.0,0.0,41.9,16.96368058,61.08918391,21.94713551,1.144201252,0
Colorado,Weld,1.84,1.333333333,63.4,26.24743482,61.59112964,12.16143555,1.219834237,26
Connecticut,Fairfield,1.29,3.2096774189999997,1467.2,22.46586489,61.65001277,15.88412234,2.507461674,173
Connecticut,Hartford,2.8,6.172413793,1216.2,20.9818113,61.89322917,17.12495953,2.662493545,216
Connecticut,Litchfield,1.85,4.0,206.3,18.18387619,60.55733777,21.25878605,2.76073789,21
Connecticut,Middlesex,2.01,4.8888888889999995,448.6,17.68911127,61.98473095,20.32615778,3.005249505,24
Connecticut,Tolland,2.11,1.6470588240000001,372.2,17.33357187,66.86677136,15.79965677,1.967254391,16
Connecticut,Windham,2.03,4.0,230.9,19.82619396,63.58105394,16.592752100000002,2.102933511,6
Delaware,Kent,1.88,6.0,276.9,22.85354243,60.07392887,17.0725287,1.764771773,29
Delaware,Sussex,3.62,4.333333333,210.6,18.57243792,53.70018231,27.72737978,2.50865731,38
Florida,Alachua,0.6,0.0,282.7,17.981078399999994,68.00330424,14.01561736,1.703610959,210
Florida,Baker,-0.29,2.0,46.3,23.68189032,62.1583495,14.15976018,1.31193793,0
Florida,Bay,1.89,4.0,222.6,21.45914176,61.44413801,17.09672022,2.05249154,77
Florida,Bradford,1.71,4.0,97.0,19.60190394,62.60276936,17.7953267,2.203230925,0
Florida,Brevard,2.45,3.0,535.0,18.24799908,58.07013164,23.68186928,3.117538942,159
Florida,Broward,1.39,2.0526315790000003,1444.9,21.15499728,62.22430635,16.62069637,2.363293462,587
Florida,Calhoun,0.0,0.0,25.8,20.04524577,61.91814629,18.03660794,2.125179955,0
Florida,Charlotte,0.79,3.2,235.2,11.92823706,47.85835523,40.21340771,5.190326382,51
Florida,Citrus,0.69,1.333333333,242.8,14.8963354,48.79908605,36.30457855,4.23987183,40
Florida,Clay,2.13,1.5,315.8,23.23716169,60.97921063,15.78362768,1.422211115,28
Florida,Collier,1.11,4.0,160.9,17.1191689,50.66448606,32.21634504,4.557343958,73
Florida,Columbia,2.0,0.0,84.7,21.71822476,59.39747245,18.8843028,2.107711729,27
Florida,DeSoto,0.71,1.333333333,54.7,18.93622129,58.87860439,22.18517432,2.848835658,8
Florida,Dixie,0.0,0.0,23.3,18.17365269,58.17964072,23.64670659,2.221556886,0
Florida,Duval,1.13,0.615384615,1133.9,22.59316909,63.35866535,14.04816556,1.5695956880000002,412
Florida,Escambia,1.45,6.666666667,453.4,20.84846641,62.30770693,16.84382666,1.920870651,120
Florida,Flagler,2.79,0.0,197.1,16.850634,52.42845798,30.72090803,3.298919396,18
Florida,Franklin,0.0,0.0,21.6,16.0872529,59.93524199,23.97750511,1.831970007,0
Florida,Gadsden,0.0,0.0,89.8,22.00069726,60.13858021,17.86072253,1.941430252,0
Florida,Gilchrist,0.0,0.0,48.4,20.28374233,59.22436459,20.49189308,2.645705521,0
Florida,Glades,0.0,0.0,16.0,15.15593122,57.5633926,27.28067619,2.776158554,0
Florida,Gulf,0.0,0.0,28.1,15.4664687,62.96090077,21.57263054,2.08487998,0
Florida,Hamilton,0.0,0.0,28.8,18.91684137,63.08874913,17.9944095,2.026554857,0
Florida,Hardee,0.0,0.0,43.5,26.21031382,57.15544137,16.63424482,2.007707836,0
Florida,Hendry,0.0,0.0,34.0,26.38367504,59.87101742,13.74530754,1.759072095,3
Florida,Hernando,0.7,2.0,365.6,18.31503943,54.22471379999999,27.46024677,3.376732245,44
Florida,Highlands,1.02,0.8,97.2,17.04545455,47.64759448,35.30695098,5.217976931,38
Florida,Hillsborough,1.07,0.75,1204.9,22.54775598,63.16337808,14.28886594,1.6516249,432
Florida,Holmes,0.0,0.0,41.6,20.21871952,59.90655645,19.87472403,2.151255327,0
Florida,Jackson,1.33,0.0,54.2,18.55087465,61.93975779,19.50936756,2.347583066,7
Florida,Jefferson,0.0,0.0,24.7,17.01427772,59.45548712,23.53023516,2.589585666,0
Florida,Lafayette,0.0,0.0,16.3,20.2817224,63.67384333,16.04443426,1.832340815,0
Florida,Lake,1.51,2.0,316.6,19.1497777,54.17130675,26.67891555,3.148150745,158
Florida,Lee,0.94,3.142857143,788.7,17.57503876,53.81495077,28.61001047,3.452114337,141
Florida,Leon,1.85,0.0,413.1,18.62277865,67.9909881,13.38623326,1.4437508119999998,60
Florida,Levy,0.0,0.0,36.5,19.51434879,55.70517537,24.78047584,2.180524896,0
Florida,Liberty,0.0,0.0,10.0,17.87868038,67.58897954,14.53234007,1.206101454,0
Florida,Madison,0.0,0.0,27.6,18.84613309,60.65626855,20.49759836,2.245129257,0
Florida,Manatee,2.98,5.538461538,434.5,18.26518595,54.33918780000001,27.39562624,3.701865242,90
Florida,Marion,1.24,0.0,209.1,18.59063218,52.46918553,28.94018229,3.23604008,110
Florida,Martin,0.94,1.333333333,269.2,16.39902555,52.72074177,30.88023267,5.007706075,74
Florida,Miami-Dade,1.26,4.536082474,1315.5,20.21486967,63.55848335,16.22664698,2.32899198,593
Florida,Monroe,1.0,0.0,74.3,15.14254868,61.84440268,23.01304864,2.296506591,14
Florida,Nassau,1.21,0.0,113.0,19.73972411,58.07507689,22.18519899,2.045857023,0
Florida,Okaloosa,1.14,8.0,194.4,22.23342613,61.75404909,16.01252479,1.743627846,57
Florida,Okeechobee,0.0,0.0,52.0,21.29186027,58.92336953,19.7847702,2.267857573,8
Florida,Orange,1.02,3.333333333,1268.5,22.15754231,65.9045591,11.93789859,1.38073147,388
Florida,Osceola,1.09,0.0,202.4,24.41234816,62.37941248,13.20823935,1.286991494,66
Florida,Pasco,1.16,0.0,622.2,20.31966347,57.05279543,22.62754109,2.7507736780000003,166
Florida,Pinellas,1.22,0.923076923,3347.5,16.16684439,59.05657862,24.77657698,3.762714297,279
Florida,Polk,1.11,2.0,334.9,22.10240265,57.68005774,20.21753961,2.268050265,145
Florida,Putnam,1.24,0.0,102.2,21.40555263,55.39689603,23.19755134,2.503944015,10
Florida,Sarasota,0.89,3.666666667,682.6,14.20516594,49.11744993,36.67738413,5.672833112,118
Florida,Seminole,0.98,6.0,1367.0,21.01373998,63.48219019,15.50406984,2.016749602,38
Florida,Sumter,1.39,0.8888888890000001,170.8,7.069294935,35.34336797,57.58733709,4.329185889,0
Florida,Suwannee,0.0,0.0,60.3,21.29166572,57.34199271,21.36634156,2.618180172,0
Florida,Taylor,0.0,0.0,21.6,20.14984045,59.40896268,20.44119687,1.98399852,6
